,qu50_dist_EmbLCos,qu50_dist_EmbLCos_nor,qu50_dist_SpCos,qu50_dist_SpCos_nor
0,0.442950159,2.124222868,0.003313661,4.300943834
1,0.41414547,1.986086378,0.002493083,3.23588117
2,0.563401312,2.701861429,0.003700078,4.802491103
3,0.579488009,2.779007198,0.001307786,1.697431533
4,0.450208366,2.159030506,0.000987321,1.281486926
5,0.482329667,2.313072219,0.00176397,2.289532725
6,0.347649395,1.66719614,0.001124978,1.460157821
7,0.284704208,1.365334626,0.001964331,2.549589974
8,0.332689852,1.595455777,0.001624614,2.10865697
9,0.216701686,1.03922003,0.001769841,2.297153025
10,0.18268773,0.876101848,0.001346558,1.74775646
11,0.196716636,0.943379224,0.001609862,2.089509516
12,0.219357491,1.051956271,0.001625746,2.110126876
13,0.246324509,1.181279981,0.001850754,2.402173913
14,0.42293033,2.028215274,0.003232449,4.195536129
15,0.577917352,2.771474917,0.00468716,6.083668575
16,0.399696708,1.916795534,0.001865059,2.420741142
17,0.546987772,2.623148247,0.00165382,2.146565063
18,0.340098888,1.630986736,0.001826793,2.371073805
19,0.34486565,1.653846341,0.001789093,2.32214142
20,0.558765352,2.679629103,0.001531363,1.987621847
21,0.533436716,2.558162462,0.002798259,3.631982052
22,0.47808972,2.292739025,0.00209263,2.716114807
23,0.44486779,2.133419105,0.002162158,2.806359276
24,0.466791272,2.238555906,0.002826333,3.668420238
25,0.364412516,1.747585782,0.002414972,3.134496364
26,0.537217751,2.576294891,0.002143711,2.782415287
27,0.484744519,2.324652946,0.002105176,2.732399814
28,0.458175182,2.19723637,0.002052218,2.663662386
29,0.570647672,2.736612255,0.002141029,2.778933932
30,0.525295958,2.519122441,0.002720892,3.531564289
31,0.384334385,1.843123596,0.002610326,3.388055083
32,0.457311511,2.193094526,0.00215435,2.796224663
33,0.448273927,2.149753662,0.001952857,2.534697509
34,0.482542425,2.31409253,0.001805037,2.342836144
35,0.557377681,2.672974355,0.002745479,3.563476714
36,0.421933651,2.023435575,0.001764566,2.290306359
37,0.498650134,2.391339059,0.001608372,2.087575429
38,0.227386802,1.09046184,0.003283501,4.261797927
39,0.464132994,2.225807802,0.001345396,1.746247873
40,0.542642191,2.60230847,0.001769781,2.297075661
41,0.487395853,2.337367748,0.001933485,2.509554387
42,0.566222116,2.71538895,0.00198251,2.573185827
43,0.3818793,1.831349927,0.002259284,2.932423023
44,0.532229736,2.552374243,0.002045095,2.654417453
45,0.361497849,1.733608132,0.002088398,2.710622002
46,0.456751496,2.190408902,0.002017975,2.619217082
47,0.487450957,2.337632009,0.001469433,1.907241219
48,0.393627912,1.887691864,0.001266181,1.643431843
49,0.104671448,0.501965018,0.001056403,1.371151168
50,0.070747197,0.339277027,0.001272798,1.652019186
51,0.069060117,0.331186425,0.000995249,1.291776265
52,0.051050961,0.244821266,0.000848413,1.101191397
53,0.06307283,0.302473644,0.000859946,1.116161225
54,0.346197784,1.660234756,0.00169307,2.197508897
55,0.456814617,2.190711608,0.000848323,1.101075352
56,0.41223222,1.976911151,0.000742793,0.964103358
57,0.562357172,2.696854128,0.00186187,2.416602197
58,0.210616887,1.010039612,0.000995219,1.291737583
59,0.525535524,2.520271309,0.001181692,1.533769147
60,0.457825571,2.195559766,0.001235813,1.604015163
61,0.595922589,2.857821282,0.00085175,1.105523751
62,0.531303898,2.547934266,0.001778096,2.307867863
63,0.198008239,0.949573267,0.002333879,3.029243385
64,0.337815046,1.62003429,0.006533623,8.480272319
65,0.395605266,1.897174514,0.01497674,19.43896024
66,0.48142454,2.308731573,0.006141782,7.971684976
67,0.484701186,2.324445139,0.01214394,15.76214606
68,0.453494817,2.174791093,0.037003517,48.02846975
69,0.389949769,1.870052869,0.004643828,6.027425344
70,0.316821009,1.519354758,0.003284097,4.262571561
71,0.523491502,2.510468946,0.008410066,10.91578988
72,0.531545103,2.549090995,0.004595369,5.964528857
73,0.537603781,2.578146143,0.013993919,18.16331425
74,0.627654567,3.00999595,0.012660325,16.43238434
75,0.346100569,1.659768548,0.006062746,7.869101037
76,0.343072712,1.645248085,0.002543598,3.301446697
77,0.513533056,2.462711973,0.002555281,3.316609933
78,0.428577483,2.055296901,0.001188964,1.543207489
79,0.510148555,2.446481176,0.001435757,1.863530868
80,0.438235492,2.101613089,0.002429247,3.153024911
81,0.631422639,3.028066208,0.001032531,1.340167105
82,0.588990808,2.824579055,0.005062103,6.570323379
83,0.592601001,2.841892191,0.001947552,2.527812162
84,0.512968317,2.460003696,0.001933396,2.509438341
85,0.484050244,2.321323463,0.003338099,4.33266285
86,0.568149686,2.724632851,0.001530141,1.986035897
87,0.472304642,2.264995961,0.001611769,2.091985146
88,0.433918238,2.080909159,0.002803564,3.638867399
89,0.456888348,2.191065194,0.002456635,3.188573418
90,0.531048521,2.546709578,0.001025319,1.330806127
91,0.566938773,2.718825766,0.002070189,2.686987467
92,0.513367772,2.461919334,0.001722515,2.235726443
93,0.510359064,2.447490697,0.001710534,2.220176389
94,0.596220642,2.859250632,0.001928031,2.502475631
95,0.550524324,2.640108225,0.002287,2.968397029
96,0.490997493,2.354639865,0.00159362,2.068427975
97,0.58860147,2.822711939,0.001723945,2.237583166
98,0.472191393,2.264452862,0.002700269,3.504796534
99,0.453926772,2.176862586,0.002027154,2.631131054
100,0.342689365,1.643409695,0.003359735,4.360745784
101,0.310185134,1.487531593,0.003209591,4.165867244
102,0.423823416,2.032498181,0.002911836,3.779398112
103,0.479654014,2.300240793,0.000864565,1.122156893
104,0.595220163,2.854452711,0.001417488,1.83981897
105,0.606796756,2.909969709,0.002283335,2.963639177
106,0.648681745,3.110834409,0.001220435,1.584055392
107,0.548603252,2.630895481,0.001223624,1.588194337
108,0.359071612,1.72197281,0.001086801,1.410606529
109,0.547865465,2.627357335,0.001118481,1.451725205
110,0.429887861,2.061580984,0.001424313,1.848677085
111,0.461311966,2.212279209,0.002045125,2.654456135
112,0.562543646,2.697748383,0.002382457,3.0922946
113,0.603696376,2.895101448,0.001100302,1.428129352
114,0.538709506,2.583448789,0.001072258,1.391729847
115,0.41044569,1.968343623,0.000991642,1.287095776
116,0.571267024,2.739582434,0.001980513,2.570594151
117,0.470487833,2.256283226,0.001130074,1.466772397
118,0.52206631,2.503634261,0.000817299,1.060807674
119,0.50435622,2.418703311,0.001672357,2.170625097
120,0.37906298,1.817843915,0.002898395,3.761952654
121,0.339809328,1.629598118,0.00167349,2.172095002
122,0.476352781,2.284409317,0.001084566,1.4077054
123,0.599132702,2.873215777,0.001321286,1.714954356
124,0.44545567,2.13623836,0.003209174,4.1653257
125,0.483333826,2.317887791,0.002198815,2.8539378
126,0.153311372,0.735223851,0.002737463,3.553071329
127,0.313846022,1.505087836,0.001407534,1.826899273
128,0.352678657,1.691314591,0.001126319,1.461898499
129,0.431227744,2.068006558,0.000921249,1.195729537
130,0.315633625,1.513660509,0.003155082,4.095118366
131,0.481928498,2.311148363,0.000903279,1.172404456
132,0.360609651,1.729348664,0.002352268,3.053110011
133,0.443055183,2.124726521,0.000798255,1.036090051
134,0.460875541,2.210186277,0.00071609,0.92944453
135,0.187119842,0.897356595,0.000820279,1.064675847
136,0.14414084,0.691245417,0.000564128,0.732206406
137,0.267555177,1.283094303,0.000689507,0.89494043
138,0.208424687,0.999526646,0.000589103,0.764621693
139,0.143170446,0.686591774,0.000693023,0.899504874
140,0.458311379,2.197889518,0.000520587,0.675692403
141,0.339418232,1.627722569,0.000478148,0.620609624
142,0.452876836,2.171827488,0.000461489,0.598986539
143,0.281414956,1.349560604,0.000706047,0.916408788
144,0.235619783,1.129944129,0.000857055,1.112409098
145,0.187511861,0.899236574,0.000879705,1.14180721
146,0.250887334,1.203161579,0.000965267,1.252862448
147,0.235755593,1.130595419,0.001187235,1.540963949
148,0.501700267,2.405966356,0.000849396,1.102467894
149,0.513245374,2.461332359,0.00055927,0.725901284
150,0.48077777,2.305629906,0.00074169,0.962672134
151,0.16674301,0.799636953,0.0006558,0.851191397
152,0.460123211,2.206578385,0.001636982,2.124709887
153,0.530696496,2.545021398,0.002295196,2.979034504
154,0.203579247,0.976289731,0.001400232,1.81742225
155,0.342936337,1.644594079,0.000871748,1.131479189
156,0.12722072,0.610102869,0.000959665,1.245590283
157,0.211784273,1.015637961,0.000672072,0.87231162
158,0.188934624,0.906059612,0.001100183,1.427974625
159,0.241069436,1.15607862,0.000777632,1.009322296
160,0.50066027,2.400978921,0.000814557,1.057248956
161,0.26234597,1.258112897,0.000719845,0.934318428
162,0.350710064,1.68187396,0.000525594,0.682190933
163,0.441206902,2.115862861,0.000476182,0.61805663
