qu50_dist_EmbLCos,qu50_dist_EmbLCos_nor,qu50_dist_SpCos,qu50_dist_SpCos_nor,LMA_g_m2,N_area_mg_cm2,LAI_m2_m2,C_area_mg_cm2,Chl_area_ug_cm2,EWT_mg_cm2,Car_area_ug_cm2,P_area_mg_cm2,Lignin_mg_cm2,Cellulose_mg_cm2,Fiber_mg_cm2,Anth_area_ug_cm2,NSC_mg_cm2,Mg_area_mg_cm2,Ca_area_mg_cm2,Potassium_area_mg_cm2,Boron_area_mg_cm2,Cu_area_mg_cm2,S_area_mg_cm2,Mn_area_mg_cm2
0.054819763,0.275969583,0.000313759,0.405984884,1.59010637,0.020427182,,,1.22056226,3.66032846,,,,,,,,0.003590574,0.049540177,,,,,
0.055586338,0.279828619,0.000318259,0.411807805,0.91524591,0.010195498,,,0.44485515,4.07652226,,,,,,,,0.003398993,0.026573135,,,,,
0.058643162,0.295217057,0.000279129,0.361175382,0.16631877,0.000354167,,,0.56933994,4.33862662,,,,,,,,0.003675549,0.024978897,,,,,
0.055756748,0.280686483,0.00035736,0.462401666,8.67652703,0.047035821,,,3.21819654,0.37113241,,,,,,,,0.002985554,0.051996369,,,,,
0.062488586,0.314575402,0.000445783,0.576816289,76.6200134,0.0389735,,,40.85454488,27.27437459,,,,,,,,0.003484733,0.112208556,,,,,
0.226160586,1.138520844,0.000462741,0.598758291,91.1864726,0.170313201,,,27.86183412,31.00265632,,,,,,,,0.005702057,0.00356021,,,,,
0.066096067,0.332735919,0.000399977,0.517545889,13.95716249,0.043545095,,,0.82590511,0.34471236,,,,,,,,0.000426958,0.007441446,,,,,
0.063843399,0.321395704,0.000413984,0.535670214,19.45836046,0.040021898,,,2.30486848,0.83070129,,,,,,,,0.0083992,0.040310146,,,,,
0.044929236,0.226179428,0.000568926,0.736156101,6.7344148,0.029825661,,,4.0068555,5.96897377,,,,,,,,0.000951176,0.009871934,,,,,
0.058917195,0.29659657,0.0005548,0.717877526,8.14644152,0.014553337,,,1.29923323,6.127805857,,,,,,,,0.004721951,0.023946102,,,,,
0.056730866,0.285590319,0.000430435,0.556956656,31.25203786,0.146302862,,,1.90634202,1.20318221,,,,,,,,0.009213588,0.029902507,,,,,
0.076829582,0.386769784,0.000804156,1.040529076,8.40684034,0.013899763,,,0.84921163,5.03184628,,,,,,,,0.004978186,0.035672934,,,,,
0.065009087,0.327263925,0.000680268,0.880225204,8.43675881,0.00888172,,,3.85755577,5.4949338,,,,,,,,0.006113674,0.002602118,,,,,
0.05738014,0.288858843,0.000507802,0.657064631,0.54738453,0.002029399,,,0.32710671,6.00273204,,,,,,,,0.012700419,0.033615479,,,,,
